"(Parent) ASIN","(Child) ASIN","Title","SKU","Sessions","Session Percentage","Page Views","Page Views Percentage","Buy Box Percentage","Units Ordered","Units Ordered - B2B","Unit Session Percentage","Unit Session Percentage - B2B","Ordered Product Sales","Ordered Product Sales - B2B","Total Order Items","Total Order Items - B2B"
"B092KNQVBW","B08PVZ4217","Cablectric 50 Ft Outdoor Extension Cord - 10/3 SJTW Heavy Duty Yellow 10 Gauge Lighted Electrical Cable with 3 Prong Grounded Plug","CM-CE-103Y50","107","8.78%","130","8.03%","100%","26","4","24.30%","3.74%","$1,495.78","$271.96","25","3"
"B092KNBMKJ","B08PVXHJXR","Cablectric 50 Ft Outdoor Extension Cord - 12/3 SJTW Heavy Duty Yellow 12 Gauge Lighted Electrical Cable with 3 Prong Grounded Plug","CM-CE-123Y50","45","3.69%","60","3.71%","100%","25","3","55.56%","6.67%","$879.78","$119.97","20","2"
"B092KLWJP5","B08PVXNVR1","Cablectric 50 Ft Outdoor Extension Cord with 3 Power Outlets - 10/3 SJTW Heavy Duty Yellow 10 Gauge Lighted Electrical Cable with 3 Prong Grounded Plug","CM-CE-103Y50P","57","4.68%","80","4.94%","99%","26","2","45.61%","3.51%","$1,724.75","$137.98","19","2"
"B08H9S5LTH","B0741BQV7G","Commercial Quality Food Delivery Bag - Heavy-Duty Durable Bags- Thick Insulation and Extra Strength Zipper - Fits Full-Size Catering Pan - Ideal for Uber Eats, Instacart, Doordash, Grubhub, Postmates","7T-77I7-QCC9-FN","165","13.55%","233","14.39%","95%","29","1","17.58%","0.61%","$979.72","$34.99","19","1"
"B092KNBMKJ","B08PVYHQ17","Cablectric 10 Ft Outdoor Extension Cord - 12/3 SJTW Heavy Duty Yellow 12 Gauge Lighted Electrical Cable with 3 Prong Grounded Plug","CM-CE-123Y10","44","3.61%","65","4.01%","98%","14","1","31.82%","2.27%","$265.86","$18.99","12","1"
"B092KNBMKJ","B08PVYJ4TX","Cablectric 100 Ft Outdoor Extension Cord - 12/3 SJTW Heavy Duty 12 Gauge Yellow Lighted Electrical Cable with 3 Prong Grounded Plug","CM-CE-123Y100","30","2.46%","37","2.29%","95%","5","3","16.67%","10.00%","$374.95","$224.97","3","1"
"B092KNBMKJ","B08PVZP192","Cablectric 3 Ft Outdoor GFCI Extension Cord with 3 Power Outlets - 12/3 SJTW Heavy Duty 12 Gauge Lighted Yellow Pigtail Electrical Cable with 3 Prong Grounded Plug","CM-CE-123Y03GFCI","33","2.71%","46","2.84%","100%","7","1","21.21%","3.03%","$164.93","$24.99","7","1"
"B092KNMHY4","B08PWWKP8W","Cablectric 50 Ft Outdoor Extension Cord with 3 Power Outlets - 12/3 SJTW Heavy Duty 12 Gauge Lighted Yellow Electrical Cable with 3 Prong Grounded Plug","CM-CE-123Y50P","3","0.25%","3","0.19%","100%","4","2","133.33%","66.67%","$175.96","$87.98","2","1"
"B019PC5AYO","B019PC5AYO","Play Platoon H2PONG Inflatable Beer Pong Raft with Cooler, Includes 5 Ping Pong Balls - Floating Pool Party Game Float Set with Built in Cooler","CM-PP-INPONGRC","13","1.07%","13","0.80%","0%","1","0","7.69%","0.00%","$41.99","$0.00","1","0"
"B076DL27CP","B071CKVSZK","DSP Blade 750 Table Tennis Paddle - Competition ITTF Certified Double Power Racket Rubbers -Ideal for Advanced or Intermediate Ping Pong Players Looking for Speed, Spin and Control Includes Bag","QP-YFGN-DNXJ","10","0.82%","14","0.86%","100%","2","0","20.00%","0.00%","$29.98","$0.00","1","0"
