"sku","fnsku","asin","product-name","product-group","brand","fulfilled-by","your-price","sales-price","longest-side","median-side","shortest-side","length-and-girth","unit-of-dimension","item-package-weight","unit-of-weight","product-size-tier","currency","estimated-fee-total","estimated-referral-fee-per-unit","estimated-variable-closing-fee","estimated-order-handling-fee-per-order","estimated-pick-pack-fee-per-unit","estimated-weight-handling-fee-per-unit","expected-fulfillment-fee-per-unit"
"CM-IFC-LVT-120W-A","X002X2GFS5","B092RJRTT9","120 Watt Low Voltage Transformer for Landscape Lights - 120V AC to 12V AC Outdoor Lighting Transformer with Dusk to Dawn Sensor & Countdown Timer","Home Improvement","Iron Forge Cable","Amazon","57.69","57.69","10.24","7.28","6.57","37.95","inches","5.9","pounds","UsLargeStandardSize","USD","15.23","8.65","0.00","--","--","--","6.58"
"7T-77I7-QCC9-FN","X002U9NHZZ","B0741BQV7G","Commercial Quality Food Delivery Bag - Heavy-Duty Durable Bags- Thick Insulation and Extra Strength Zipper - Fits Full-Size Catering Pan - Ideal for Uber Eats, Instacart, Doordash, Grubhub, Postmates","Biss","Ateny","Amazon","52.96","52.96","44.4","34.01","14.91","142.24","centimeters","1170.0","grams","Standard","CAD","24.51","6.36","0.00","--","--","--","18.15"
"7T-77I7-QCC9-FN","X002U9NHZZ","B0741BQV7G","Commercial Quality Food Delivery Bag - Heavy-Duty Durable Bags- Thick Insulation and Extra Strength Zipper - Fits Full-Size Catering Pan - Ideal for Uber Eats, Instacart, Doordash, Grubhub, Postmates","Biss","Ateny","Amazon","34.99","34.99","17.48","13.39","5.87","56.0","inches","2.58","pounds","UsLargeStandardSize","USD","11.98","4.20","0.00","--","--","--","7.78"
"C4-ZHHP-Q3C7-FN","X002U9L8FB","B08BLQCP16","Commercial Quality Large Pizza Delivery Bag - Store Up to 3 XL Pizzas 18”x 18”x 6” - Thick Insulation and Durable Construction - Ultra Warm Design Keeps Pizzas Warm for Hours by Ateny","Biss","Ateny","Amazon","51.19","51.19","48.26","26.67","11.18","123.95","centimeters","589.99","grams","Oversize","CAD","28.77","6.14","0.00","--","--","--","22.63"
"C4-ZHHP-Q3C7-FN","X002U9L8FB","B08BLQCP16","Commercial Quality Large Pizza Delivery Bag - Store Up to 3 XL Pizzas 18”x 18”x 6” - Thick Insulation and Durable Construction - Ultra Warm Design Keeps Pizzas Warm for Hours by Ateny","Biss","Ateny","Amazon","27.99","27.99","19.0","10.5","4.4","48.8","inches","1.3","pounds","UsSmallOversize","USD","14.30","3.36","0.00","--","--","--","10.94"
"CM-CE-163CR30-TLBK","X002RCI1PL","B08RJY445K","Retractable Extension Cord Reel 30 Ft with 3 Outlets and Breaker Switch - 16/3 SJTW Power Cable for Garage Ceiling, Teal","Home Improvement","Cablectric","Amazon","35.99","35.99","11.26","10.67","4.33","41.26","inches","7.65","pounds","UsLargeStandardSize","USD","12.58","5.40","0.00","--","--","--","7.18"
"CM-CE-LV122B100","X002QQ6YHF","B08Q8N3FT5","Cablectric 12/2 Low Voltage Landscape Wire, Black - 100 Foot Outdoor Low-Voltage Cable for Landscape Lighting","Home","Cablectric","Amazon","75.56","75.56","31.75","13.97","6.35","72.39","centimeters","2767.0","grams","Standard","CAD","26.28","11.33","0.00","--","--","--","14.95"
"CM-CE-LV122B100","X002QQ6YHF","B08Q8N3FT5","Cablectric 12/2 Low Voltage Landscape Wire, Black - 100 Foot Outdoor Low-Voltage Cable for Landscape Lighting","Home Improvement","Cablectric","Amazon","40.99","40.99","12.5","5.5","2.5","28.5","inches","6.1","pounds","UsLargeStandardSize","USD","13.03","6.15","0.00","--","--","--","6.88"
"CM-CE-LV162B100","X002QQ6YGB","B08Q8R63HB","Cablectric 16/2 Low Voltage Landscape Wire, Black - 100 Foot Outdoor Low-Voltage Cable for Landscape Lighting","Home","Cablectric","Amazon","43.67","43.67","30.8","13.8","6.0","70.4","centimeters","1598.01","grams","Standard","CAD","19.10","6.55","0.00","--","--","--","12.55"
"CM-CE-LV162B100","X002QQ6YGB","B08Q8R63HB","Cablectric 16/2 Low Voltage Landscape Wire, Black - 100 Foot Outdoor Low-Voltage Cable for Landscape Lighting","Home Improvement","Cablectric","Amazon","23.99","23.99","12.13","5.43","2.36","27.72","inches","3.52","pounds","UsLargeStandardSize","USD","9.58","3.60","0.00","--","--","--","5.98"
"CM-CE-LV122B250","X002QQ6YEN","B08Q8NN1VL","12/2 Low Voltage Landscape Wire, Black - 250 Foot Outdoor Low-Voltage Cable for Landscape Lighting","Home","Cablectric","Amazon","166.08","166.08","28.8","25.0","12.6","104.0","centimeters","7335.0","grams","Standard","CAD","47.86","24.91","0.00","--","--","--","22.95"
"CM-CE-LV122B250","X002QQ6YEN","B08Q8NN1VL","Cablectric 12/2 Low Voltage Landscape Wire, Black - 250 Foot Outdoor Low-Voltage Cable for Landscape Lighting","Home Improvement","Cablectric","Amazon","99.99","99.99","11.34","9.84","4.96","40.94","inches","16.17","pounds","UsLargeStandardSize","USD","24.88","15.00","0.00","--","--","--","9.88"
"CM-CE-LV182B100","X002QQ6YED","B08Q8NQ1H6","18/2 Low Voltage Landscape Wire, Black - 100 Foot Outdoor Low-Voltage Cable for Landscape Lighting","Home","Cablectric","Amazon","40.74","40.74","31.75","12.7","5.59","68.33","centimeters","1338.01","grams","Standard","CAD","18.66","6.11","0.00","--","--","--","12.55"
"CM-CE-LV182B100","X002QQ6YED","B08Q8NQ1H6","Cablectric 18/2 Low Voltage Landscape Wire, Black - 100 Foot Outdoor Low-Voltage Cable for Landscape Lighting","Home Improvement","Cablectric","Amazon","19.99","19.99","12.5","5.0","2.2","26.9","inches","2.95","pounds","UsLargeStandardSize","USD","8.68","3.00","0.00","--","--","--","5.68"
"CM-CE-LV142B250","X002QQ3969","B08Q8NX64W","Cablectric 14/2 Low Voltage Landscape Wire, Black - 250 Foot Outdoor Low-Voltage Cable for Landscape Lighting","Home","Cablectric","Amazon","122.86","122.86","25.0","24.9","11.1","97.0","centimeters","5345.0","grams","Standard","CAD","38.18","18.43","0.00","--","--","--","19.75"
"CM-CE-LV142B250","X002QQ3969","B08Q8NX64W","Cablectric 14/2 Low Voltage Landscape Wire, Black - 250 Foot Outdoor Low-Voltage Cable for Landscape Lighting","Home Improvement","Cablectric","Amazon","71.99","71.99","9.84","9.8","4.37","38.19","inches","11.78","pounds","UsLargeStandardSize","USD","19.18","10.80","0.00","--","--","--","8.38"
"CM-CE-LV142B100","X002QQ394B","B08Q8NYHBT","Cablectric 14/2 Low Voltage Landscape Wire, Black - 100 Foot Outdoor Low-Voltage Cable for Landscape Lighting","Home","Cablectric","Amazon","58.33","58.33","32.9","12.9","6.9","72.5","centimeters","1972.99","grams","Standard","CAD","22.10","8.75","0.00","--","--","--","13.35"
"CM-CE-LV142B100","X002QQ394B","B08Q8NYHBT","Cablectric 14/2 Low Voltage Landscape Wire, Black - 100 Foot Outdoor Low-Voltage Cable for Landscape Lighting","Home Improvement","Cablectric","Amazon","29.99","29.99","12.95","5.08","2.72","28.54","inches","4.35","pounds","UsLargeStandardSize","USD","10.78","4.50","0.00","--","--","--","6.28"
"CM-CE-LV162B250","X002QQ1YLV","B08Q8P72D7","Cablectric 16/2 Low Voltage Landscape Wire, Black - 250 Foot Outdoor Low-Voltage Cable for Landscape Lighting","Home","Cablectric","Amazon","80.81","80.81","25.4","25.4","12.7","101.6","centimeters","907.0","grams","Standard","CAD","24.67","12.12","0.00","--","--","--","12.55"
"CM-CE-LV162B250","X002QQ1YLV","B08Q8P72D7","Cablectric 16/2 Low Voltage Landscape Wire, Black - 250 Foot Outdoor Low-Voltage Cable for Landscape Lighting","Home Improvement","Cablectric","Amazon","52.99","52.99","10.0","10.0","5.0","40.0","inches","2.0","pounds","UsLargeStandardSize","USD","13.93","7.95","0.00","--","--","--","5.98"
"CM-CE-163B25","X002QLCG0J","B08PVZQVL7","Cablectric 25 Foot Outdoor Extension Cord - 16/3 SJTW Black 16 Gauge Electrical Cable with 3 Prong Grounded Plug","Electronics","Cablectric","Amazon","15.99","15.99","12.99","5.04","1.69","26.46","inches","1.89","pounds","UsLargeStandardSize","USD","7.35","2.40","0.00","--","--","--","4.95"
"CM-CE-163W10","X002QLCG09","B08PVZYWVQ","Cablectric 10 Foot Outdoor Extension Cord - 16/3 SJTW White 16 Gauge Electrical Cable with 3 Prong Grounded Plug","Electronics","Cablectric","Amazon","11.99","11.99","9.8","3.31","1.38","19.17","inches","0.83","pounds","UsLargeStandardSize","USD","6.05","1.80","0.00","--","--","--","4.25"
"CM-CE-163W06","X002QLCFZF","B08PW1J2C5","Cablectric 6 Foot Outdoor Extension Cord - 16/3 SJTW White 16 Gauge Electrical Cable with 3 Prong Grounded Plug","Electronics","Cablectric","Amazon","9.99","9.99","9.25","2.72","1.5","17.68","inches","0.53","pounds","UsLargeStandardSize","USD","5.14","1.50","0.00","--","--","--","3.64"
"CM-CE-123Y25P","X002QLCCPX","B08PVZ6HK6","Cablectric 25 Ft Outdoor Extension Cord with 3 Power Outlets - 12/3 SJTW Heavy Duty 12 Gauge Lighted Yellow Electrical Cable with 3 Prong Grounded Plug","Home Improvement","Cablectric","Amazon","27.99","27.99","12.76","5.55","3.46","30.79","inches","3.82","pounds","UsLargeStandardSize","USD","10.18","4.20","0.00","--","--","--","5.98"
"CM-CE-163G50","X002QLCCP3","B08PVZTLH1","Cablectric 50 Foot Outdoor Extension Cord - 16/3 SJTW Green 16 Gauge Electrical Cable with 3 Prong Grounded Plug","Home Improvement","Cablectric","Amazon","24.99","24.99","12.6","5.91","2.44","29.29","inches","3.67","pounds","UsLargeStandardSize","USD","9.73","3.75","0.00","--","--","--","5.98"
"CM-CE-163CR30-YEBK","X002QLCCOT","B08PVZRYJ9","Cablectric 30 Foot Retractable Extension Cord Reel with Breaker Switch and 3 Power Outlets - 16/3 SJTW Durable Red 16 Gauge Electrical Cable","Home Improvement","Cablectric","Amazon","35.99","35.99","11.18","10.67","4.25","41.02","inches","7.56","pounds","UsLargeStandardSize","USD","12.58","5.40","0.00","--","--","--","7.18"
"CM-CE-103Y50","X002QLC4TR","B08PVZ4217","Cablectric 50 Ft Outdoor Extension Cord - 10/3 SJTW Heavy Duty Yellow 10 Gauge Lighted Electrical Cable with 3 Prong Grounded Plug","Electronics","Cablectric","Amazon","67.99","67.99","16.89","11.02","3.9","46.73","inches","11.95","pounds","UsLargeStandardSize","USD","18.58","10.20","0.00","--","--","--","8.38"
"CM-CE-123Y100","X002QLC4SX","B08PVYJ4TX","Cablectric 100 Ft Outdoor Extension Cord - 12/3 SJTW Heavy Duty 12 Gauge Yellow Lighted Electrical Cable with 3 Prong Grounded Plug","Home Improvement","Cablectric","Amazon","74.99","74.99","18.19","8.31","4.06","42.91","inches","13.59","pounds","UsSmallOversize","USD","24.85","11.25","0.00","--","--","--","13.60"
"CM-CE-163G25","X002QLC4SD","B08PVZVBJS","Cablectric 25 Foot Outdoor Extension Cord - 16/3 SJTW Green 16 Gauge Electrical Cable with 3 Prong Grounded Plug","Electronics","Cablectric","Amazon","13.99","13.99","13.31","4.92","1.69","26.54","inches","1.9","pounds","UsLargeStandardSize","USD","7.05","2.10","0.00","--","--","--","4.95"
"CM-CE-103Y50P","X002QLC4S3","B08PVXNVR1","Cablectric 50 Ft Outdoor Extension Cord with 3 Power Outlets - 10/3 SJTW Heavy Duty Yellow 10 Gauge Lighted Electrical Cable with 3 Prong Grounded Plug","Home Improvement","Cablectric","Amazon","68.99","68.99","13.15","11.89","4.92","46.77","inches","12.76","pounds","UsLargeStandardSize","USD","19.03","10.35","0.00","--","--","--","8.68"
"CM-CE-123Y10","X002QLC4RJ","B08PVYHQ17","Cablectric 10 Ft Outdoor Extension Cord - 12/3 SJTW Heavy Duty Yellow 12 Gauge Lighted Electrical Cable with 3 Prong Grounded Plug","Home Improvement","Cablectric","Amazon","18.99","18.99","10.91","5.08","1.5","24.06","inches","1.51","pounds","UsLargeStandardSize","USD","7.80","2.85","0.00","--","--","--","4.95"
"CM-CE-163CR30-REBK","X002QLC4R9","B08PVZV6YK","30 Foot Retractable Extension Cord Reel with Breaker Switch and 3 Power Outlets - 16/3 SJTW Durable Yellow 16 Gauge Electrical Cable","Home Improvement","Cablectric","Amazon","35.99","35.99","11.54","11.14","4.21","42.24","inches","7.6","pounds","UsLargeStandardSize","USD","12.58","5.40","0.00","--","--","--","7.18"
