"snapshot-date","sku","fnsku","asin","product-name","condition","avaliable-quantity(sellable)","qty-with-removals-in-progress","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-365-plus-days","currency","qty-to-be-charged-ltsf-6-mo","projected-ltsf-6-mo","qty-to-be-charged-ltsf-12-mo","projected-ltsf-12-mo","units-shipped-last-7-days","units-shipped-last-30-days","units-shipped-last-60-days","units-shipped-last-90-days","alert","your-price","sales_price","lowest_price_new","lowest_price_used","Recommended action","Healthy Inventory Level","Recommended sales price","Recommended sale duration (days)","Recommended Removal Quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-units","storage-type"
"2021-07-18","CM-PP-INPONGRC","X002X9E2BF","B019PC5AYO","Play Platoon H2PONG Inflatable Beer Pong Raft with Cooler, Includes 5 Ping Pong Balls - Floating Pool Party Game Float Set with Built in Cooler","New","1","0","1","0","0","0","0","USD","0","0.0","0","0.0","2","270","270","270","","","","-1.0","-1.0","Edit listing","0","0.0","0","0","0.0","1.7363344051446945","0.367997","cubic feet","Standard"
"2021-07-18","7T-77I7-QCC9-FN","X002U9NHZZ","B0741BQV7G","Commercial Quality Food Delivery Bag - Heavy-Duty Durable Bags- Thick Insulation and Extra Strength Zipper - Fits Full-Size Catering Pan - Ideal for Uber Eats, Instacart, Doordash, Grubhub, Postmates","New","3","0","3","0","0","0","0","USD","0","0.0","0","0.0","21","121","167","167","","34.99","34.99","34.99","0.0","Improve recommendations","0","0.0","0","0","0.0","1.9555555555555555","2.385270","cubic feet","Standard"
"2021-07-18","C4-ZHHP-Q3C7","B08BLQCP16","B08BLQCP16","Commercial Quality Large Pizza Delivery Bag - Store Up to 3 XL Pizzas 18”x 18”x 6” - Thick Insulation and Durable Construction - Ultra Warm Design Keeps Pizzas Warm for Hours by Ateny","New","1","0","1","0","0","0","0","USD","0","0.0","0","0.0","0","0","0","0","Low conversion","29.99","29.99","27.99","0.0","Lower price","1","29.99","0","0","0.0","0.2765957446808511","0.507986","cubic feet","Oversize"
"2021-07-18","CM-CE-103Y50P","X002QLC4S3","B08PVXNVR1","Cablectric 50 Ft Outdoor Extension Cord with 3 Power Outlets - 10/3 SJTW Heavy Duty Yellow 10 Gauge Lighted Electrical Cable with 3 Prong Grounded Plug","New","4","0","4","0","0","0","0","USD","0","0.0","0","0.0","24","92","141","185","","68.99","68.99","68.99","60.71","Improve recommendations","4","68.99","0","0","0.0","2.924901185770751","1.781060","cubic feet","Standard"
"2021-07-18","CM-CE-123Y50P","X002QL8S79","B08PWWKP8W","Cablectric 50 Ft Outdoor Extension Cord with 3 Power Outlets - 12/3 SJTW Heavy Duty 12 Gauge Lighted Yellow Electrical Cable with 3 Prong Grounded Plug","New","55","0","55","0","0","0","0","USD","0","0.0","0","0.0","4","15","15","76","Low traffic","43.99","43.99","43.99","0.0","Lower price","59","43.99","0","0","0.0","1.6","12.099230","cubic feet","Standard"
"2021-07-18","CM-CE-LV162B250","X002QQ1YLV","B08Q8P72D7","Cablectric 16/2 Low Voltage Landscape Wire, Black - 250 Foot Outdoor Low-Voltage Cable for Landscape Lighting","New","104","0","104","0","0","0","0","USD","0","0.0","0","0.0","1","9","37","73","","52.99","52.99","52.99","0.0","Create Sale","30","40.272400000000005","364","0","1752.660148951627","0.8513119533527697","30.092608","cubic feet","Standard"
"2021-07-18","CM-CE-103Y50","X002QLC4TR","B08PVZ4217","Cablectric 50 Ft Outdoor Extension Cord - 10/3 SJTW Heavy Duty Yellow 10 Gauge Lighted Electrical Cable with 3 Prong Grounded Plug","New","4","0","4","0","0","0","0","USD","0","0.0","0","0.0","26","114","115","186","Low traffic","67.99","67.99","67.99","0.0","Lower price","0","0.0","0","0","0.0","3.6470588235294117","1.679832","cubic feet","Standard"
"2021-07-18","CM-CE-123Y50","X002QLC4TH","B08PVXHJXR","Cablectric 50 Ft Outdoor Extension Cord - 12/3 SJTW Heavy Duty Yellow 12 Gauge Lighted Electrical Cable with 3 Prong Grounded Plug","New","6","0","6","0","0","0","0","USD","0","0.0","0","0.0","18","66","66","112","","","","-1.0","-1.0","Edit listing","0","0.0","0","0","0.0","3.6721311475409837","1.056510","cubic feet","Standard"
"2021-07-18","CM-CE-103Y25","X002QLC4QZ","B08PVZ3N1W","Cablectric 25 Ft Outdoor Extension Cord - 10/3 SJTW Heavy Duty Yellow 10 Gauge Lighted Electrical Cable with 3 Prong Grounded Plug","New","2","0","2","0","0","0","0","USD","0","0.0","0","0.0","0","42","45","194","","","","-1.0","-1.0","Edit listing","0","0.0","0","0","0.0","3.9390862944162435","0.612020","cubic feet","Standard"
"2021-07-18","CM-CE-163G25","X002QLC4SD","B08PVZVBJS","Cablectric 25 Foot Outdoor Extension Cord - 16/3 SJTW Green 16 Gauge Electrical Cable with 3 Prong Grounded Plug","New","60","0","60","0","0","0","0","USD","0","0.0","0","0.0","12","24","67","72","Low traffic","13.99","13.99","13.99","0.0","Lower price","64","13.99","0","0","0.0","1.2151898734177216","3.849480","cubic feet","Standard"
