"sku","fnsku","asin","product-name","product-group","brand","fulfilled-by","your-price","sales-price","longest-side","median-side","shortest-side","length-and-girth","unit-of-dimension","item-package-weight","unit-of-weight","product-size-tier","currency","estimated-fee-total","estimated-referral-fee-per-unit","estimated-variable-closing-fee","estimated-order-handling-fee-per-order","estimated-pick-pack-fee-per-unit","estimated-weight-handling-fee-per-unit","expected-fulfillment-fee-per-unit"
"OS-PUN-CH-ORBK","X002XTLZ5B","B07VPRDD67","Punchau Cornhole Bags - Juego de 8 bolsas de maíz para todo tipo de clima, tamaño y peso regulados, 4 naranja y 4 negro","Sports","Punchau","Amazon","735.61","735.61","25.15","24.13","5.59","84.58","centimeters","3469.98","grams","Standard","MXN","285.02","95.12","--","--","--","--","189.90"
"OS-PUN-CH-ORBK","X002XTLZ5B","B07VPRDD67","Punchau Cornhole Bags - All Weather Set of 8 Corn Hole Bean Bags - Regulation Size & Weight - 4 Orange & 4 Black","Sports","Punchau","Amazon","53.28","53.28","25.15","24.13","5.59","84.58","centimeters","3469.98","grams","Standard","CAD","23.74","7.99","0.00","--","--","--","15.75"
"OS-PUN-CH-ORBK","X002XTLZ5B","B07VPRDD67","Punchau Cornhole Bags - All Weather Set of 8 Corn Hole Bean Bags - Regulation Size & Weight - 4 Orange & 4 Black","Sports","Punchau","Amazon","22.99","22.99","9.9","9.5","2.2","33.3","inches","7.65","pounds","UsLargeStandardSize","USD","10.63","3.45","0.00","--","--","--","7.18"
"OS-PUN-CHB-SCORE","X002XTLQ5F","B08L5LLMZ5","Punchau Cornhole - Marcador de metal con 2 marcadores magnéticos para tableros de agujeros de maíz","Sports","Punchau","Amazon","408.67","408.67","45.4","5.8","2.1","61.2","centimeters","196.0","grams","Oversize","MXN","169.44","52.85","--","--","--","--","116.59"
"OS-PUN-CHB-SCORE","X002XTLQ5F","B08L5LLMZ5","Punchau Cornhole Scoreboard - Metal Decal with 2 Magnetic Score Keepers for Corn Hole Boards","Sports","Punchau","Amazon","13.99","13.99","17.87","2.28","0.83","24.09","inches","0.43","pounds","UsLargeStandardSize","USD","5.74","2.10","0.00","--","--","--","3.64"
"OS-PUN-CH-SLBK","X002XTLQ55","B07VRVSNGP","Punchau Cornhole Bags - Juego de 8 bolsas de maíz para todo tipo de clima, tamaño y peso regulados, 4 plateadas y 4 negras","Sports","Punchau","Amazon","735.38","735.38","31.0","25.3","5.7","93.0","centimeters","3464.99","grams","Standard","MXN","284.99","95.09","--","--","--","--","189.90"
"OS-PUN-CH-SLBK","X002XTLQ55","B07VRVSNGP","Punchau Cornhole Bags - All Weather Set of 8 Corn Hole Bean Bags - Regulation Size & Weight - 4 Silver & 4 Black","Sports","Punchau","Amazon","53.27","53.27","31.0","25.3","5.7","93.0","centimeters","3464.99","grams","Standard","CAD","23.74","7.99","0.00","--","--","--","15.75"
"OS-PUN-CH-SLBK","X002XTLQ55","B07VRVSNGP","Punchau Cornhole Bags - All Weather Set of 8 Corn Hole Bean Bags - Regulation Size & Weight - 4 Silver & 4 Black","Sports","Punchau","Amazon","22.99","22.99","12.2","9.96","2.24","36.61","inches","7.64","pounds","UsLargeStandardSize","USD","10.63","3.45","0.00","--","--","--","7.18"
"OS-PUN-CH-FLAG","X002XTLQ4L","B07VNNPVND","Punchau Cornhole Bags - Juego de 8 bolsas de maíz para todo tipo de clima, tamaño y peso regulados, 4 estrellas y 4 rayas","Sports","Punchau","Amazon","735.61","735.61","26.92","24.89","5.33","87.38","centimeters","3469.98","grams","Standard","MXN","285.02","95.12","--","--","--","--","189.90"
"OS-PUN-CH-FLAG","X002XTLQ4L","B07VNNPVND","Punchau Cornhole Bags - All Weather Set of 8 Corn Hole Bean Bags - Regulation Size & Weight - 4 Stars & 4 Stripes","Sports","Punchau","Amazon","53.28","53.28","26.92","24.89","5.33","87.38","centimeters","3469.98","grams","Standard","CAD","23.74","7.99","0.00","--","--","--","15.75"
"OS-PUN-CH-FLAG","X002XTLQ4L","B07VNNPVND","Punchau Cornhole Bags - All Weather Set of 8 Corn Hole Bean Bags - Regulation Size & Weight - 4 Stars & 4 Stripes","Sports","Punchau","Amazon","22.99","22.99","10.6","9.8","2.1","34.4","inches","7.65","pounds","UsLargeStandardSize","USD","10.63","3.45","0.00","--","--","--","7.18"
"OS-PUN-CH-STAR","X002XK7GA3","B07ZTVQ9VW","Punchau Cornhole Bags - All Weather Set of 8 Corn Hole Bean Bags - Regulation Size & Weight - 4 Stars & 4 Stripes","Sports","Punchau","Amazon","31.32","31.32","31.0","26.6","8.0","100.2","centimeters","3501.01","grams","Standard","CAD","20.45","4.70","0.00","--","--","--","15.75"
"OS-PUN-CH-STAR","X002XK7GA3","B07ZTVQ9VW","Punchau Cornhole Bags - All Weather Set of 8 Corn Hole Bean Bags - Regulation Size & Weight - 4 Stars & 4 Stripes","Sports","Punchau","Amazon","18.49","18.49","12.2","10.47","3.15","39.45","inches","7.72","pounds","UsLargeStandardSize","USD","9.95","2.77","0.00","--","--","--","7.18"
"OS-IL-GALV-SER-3T","X002XDHZM9","B07SVM8WQQ","Bandeja de servir en niveles – Soporte de metal galvanizado para pastel, postre, camarón, aperitivos y más, 3 Tiers","Kitchen","Ilyapa","Amazon","980.04","980.04","33.27","33.27","10.16","120.14","centimeters","1383.0","grams","Standard","MXN","302.83","126.73","--","--","--","--","176.10"
"OS-IL-GALV-SER-3T","X002XDHZM9","B07SVM8WQQ","Ilyapa Galvanized Three Tiered Serving Stand - 3 Tier Metal Tray Platter for Cake, Dessert, Appetizers & More","Home","Ilyapa","Amazon","63.92","63.92","33.27","33.27","10.16","120.14","centimeters","1383.0","grams","Standard","CAD","23.74","9.59","0.00","--","--","--","14.15"
"OS-IL-GALV-SER-3T","X002XDHZM9","B07SVM8WQQ","Ilyapa Galvanized Three Tiered Serving Stand - 3 Tier Metal Tray Platter for Cake, Dessert, Appetizers & More","Home","Ilyapa","Amazon","37.99","37.99","13.1","13.1","4.0","47.3","inches","3.05","pounds","UsLargeStandardSize","USD","11.98","5.70","0.00","--","--","--","6.28"
"OS-IL-CABKRG-B25","X002XDHZLP","B07PPV6HVJ","Oil Rubbed Bronze Kitchen Cabinet Knobs - Round Ringed Drawer Handles - 25 Pack of Kitchen Cabinet Hardware","Home Improvement","Ilyapa","Amazon","764.27","764.27","18.8","16.51","7.11","66.04","centimeters","1179.02","grams","Standard","MXN","254.23","98.83","--","--","--","--","155.40"
"OS-IL-CABKRG-B25","X002XDHZLP","B07PPV6HVJ","Oil Rubbed Bronze Kitchen Cabinet Knobs - Round Ringed Drawer Handles - 25 Pack of Kitchen Cabinet Hardware","Home Improvement","Ilyapa","Amazon","52.07","52.07","18.8","16.51","7.11","66.04","centimeters","1179.02","grams","Standard","CAD","19.56","7.81","0.00","--","--","--","11.75"
"OS-IL-CABKRG-B25","X002XDHZLP","B07PPV6HVJ","Ilyapa Oil Rubbed Bronze Kitchen Cabinet Knobs - Round Ringed Drawer Handles - 25 Pack of Kitchen Cabinet Hardware","Home Improvement","Ilyapa","Amazon","29.99","29.99","7.4","6.5","2.8","26.0","inches","2.6","pounds","UsLargeStandardSize","USD","10.18","4.50","0.00","--","--","--","5.68"
"OS-IL-DS-FM-BK5","X002XCGY8B","B07PP46PDV","Floor Door Stop with Rubber Bumper 5 Pack, Oil Rubbed Bronze - In Floor Mount Half Dome Door Stopper Set","Home Improvement","Ilyapa","Amazon","536.98","536.98","12.2","10.3","5.6","44.0","centimeters","354.98","grams","Standard","MXN","217.94","69.44","--","--","--","--","148.50"
"OS-IL-DS-FM-BK5","X002XCGY8B","B07PP46PDV","Floor Door Stop with Rubber Bumper 5 Pack, Black - in Floor Mount Half Dome Door Stopper Set","Office Products","Ilyapa","Amazon","36.71","36.71","12.2","10.3","5.6","44.0","centimeters","354.98","grams","Standard","CAD","16.46","5.51","0.00","--","--","--","10.95"
"OS-IL-DS-FM-BK5","X002XCGY8B","B07PP46PDV","Ilyapa Contemporary Half Dome Heavy Duty Floor Mounted Door Stop with Rubber Bumper - Matte Black 5 Pack","Home Improvement","Ilyapa","Amazon","18.99","18.99","4.8","4.06","2.2","17.32","inches","0.78","pounds","UsLargeStandardSize","USD","7.10","2.85","0.00","--","--","--","4.25"
"OS-IL-TB5X6-WHT-2PK","X002XCGY6D","B07QHKPZ9Y","Ilyapa Wood Tissue Box Cover Square, 2 Pack - Rustic Farmhouse White Wooden Tissue Holder","Home","Ilyapa","Amazon","45.36","45.36","30.73","16.0","16.0","94.74","centimeters","499.0","grams","Standard","CAD","19.35","6.80","0.00","--","--","--","12.55"
"OS-IL-TB5X6-WHT-2PK","X002XCGY6D","B07QHKPZ9Y","Ilyapa Wood Tissue Box Cover Square, 2 Pack - Rustic Farmhouse White Wooden Tissue Holder","Home","Ilyapa","Amazon","25.99","25.99","12.1","6.3","6.3","37.3","inches","1.1","pounds","UsLargeStandardSize","USD","9.88","3.90","0.00","--","--","--","5.98"
"OS-IL-GALV-SERFL-3T","X002XCGY4Z","B082L2LTYN","Ilyapa Soporte galvanizado de tres niveles para servir – Bandeja de metal de 3 niveles para tartas, postres, aperitivos y más","Home","Ilyapa","Amazon","790.12","790.12","34.29","33.78","7.37","116.59","centimeters","1678.02","grams","Standard","MXN","264.47","102.17","--","--","--","--","162.30"
"OS-IL-GALV-SERFL-3T","X002XCGY4Z","B082L2LTYN","Ilyapa Galvanized Three Tier Serving Stand - 3 Tiered Metal Tray Platter for Cake, Dessert, Appetizers & More","Home","Ilyapa","Amazon","31.99","31.99","13.5","13.3","2.9","45.9","inches","3.7","pounds","UsLargeStandardSize","USD","10.78","4.80","0.00","--","--","--","5.98"
"OS-PP-RINGTOSS","X002XCGXMX","B015QDLQGC","Play Platoon Ring Toss Game Set – Incluye 8 Cuerda & 8 Anillos de plástico – Gran Fiesta Juego o Regalo para Adultos y niños","Toys","Play Platoon","Amazon","566.39","566.39","45.21","16.0","8.38","93.98","centimeters","1042.99","grams","Oversize","MXN","228.64","73.24","--","--","--","--","155.40"
