"snapshot-date","sku","fnsku","asin","product-name","condition","avaliable-quantity(sellable)","qty-with-removals-in-progress","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-365-plus-days","currency","qty-to-be-charged-ltsf-6-mo","projected-ltsf-6-mo","qty-to-be-charged-ltsf-12-mo","projected-ltsf-12-mo","units-shipped-last-7-days","units-shipped-last-30-days","units-shipped-last-60-days","units-shipped-last-90-days","alert","your-price","sales_price","lowest_price_new","lowest_price_used","Recommended action","Healthy Inventory Level","Recommended sales price","Recommended sale duration (days)","Recommended Removal Quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-units","storage-type"
"2021-07-13","OS-TH-162B6-2PK","X002CNBL89","B07ZDG8CWS","Thonapa 6 Ft Black Extension Cord 2 Pack - 16/2 Durable Electrical Cable","New","14","0","1","13","0","0","0","USD","0","0.0","0","0.0","2","17","55","96","","8.99","8.99","8.99","0.0","Improve recommendations","15","8.99","0","0","0.0","1.648068669527897","0.340662","cubic feet","Standard"
"2021-07-13","OS-TH-WPB-GRY","X002FJNL5V","B083L6MH6C","Waterproof Extension Cord Connection Box - Gray Weatherproof Outdoor Box for Electrical Connections","New","122","0","122","0","0","0","0","USD","0","0.0","0","0.0","1","84","250","400","","28.99","28.99","28.99","0.0","Improve recommendations","0","0.0","0","0","0.0","5.17799352750809","62.107760","cubic feet","Standard"
"2021-07-13","OS-PP-CH-HGBK","X002X99IOV","B0785GJ9LF","Weather Resistant Cornhole Bean Bags Set of 8 - Regulation Size & Weight - Hunter Green & Black","New","26","0","26","0","0","0","0","USD","0","0.0","0","0.0","10","72","72","72","","18.95","18.95","18.95","0.0","Improve recommendations","32","18.95","0","0","0.0","0.9411764705882353","3.690622","cubic feet","Standard"
"2021-07-13","OS-TH-162BMulti-3PK-FN","X002LSF1SL","B07ZDFL5VL","Thonapa Black Extension Cord 3 Pack, 10ft 15ft & 20ft - 16/2 Durable Electrical Cable","New","5","0","5","0","0","0","0","USD","0","0.0","0","0.0","5","19","27","27","","14.99","14.99","14.99","0.0","Improve recommendations","6","14.99","0","0","0.0","1.8444444444444446","0.291770","cubic feet","Standard"
"2021-07-13","OS-PP-CHPRO2-FLAG","X002WM7G5R","B07YGBWJC7","Play Platoon Professional Cornhole Bags - Set of 8 Improved Regulation All Weather Two Sided American Flag Bean Bags for Pro Corn Hole Game - 4 Stars & 4 Stripes","New","4","0","4","0","0","0","0","USD","0","0.0","0","0.0","0","28","128","128","","27.89","27.89","27.89","0.0","Improve recommendations","3","27.89","0","0","0.0","6.564102564102564","0.900656","cubic feet","Standard"
"2021-07-13","OS-BCL-CH-BLGY","X0023SHL4B","B07Q3HF1YW","Barcaloo Cornhole Bean Bags Set of 8 - Weather Resistant Duck Cloth, Regulation Size & Weight - Gray & Royal Blue","New","140","0","140","0","0","0","0","USD","0","0.0","0","0.0","5","29","157","283","","19.12","19.12","19.12","0.0","Improve recommendations","148","19.99","0","0","0.0","3.1013698630136988","12.037340","cubic feet","Standard"
"2021-07-13","OS-TH-163BSPLT40","X002OIXJEB","B08L8FPLJS","Outdoor 1 to 3 Extension Cord Splitter - 28 Foot Black Power Squid - 16/3 SJTW 3 Way Outlet & Plug Splitter Cable","New","60","0","60","0","0","0","0","USD","0","0.0","0","0.0","8","64","112","117","","25.95","25.95","25.95","0.0","Improve recommendations","64","25.95","0","0","0.0","1.4857142857142858","12.396180","cubic feet","Standard"
"2021-07-13","OS-TH-123Y50","B07B42DR51","B07B42DR51","Thonapa 50 Foot Lighted Outdoor Extension Cord - 12/3 SJTW Heavy Duty Yellow Extension Cable with 3 Prong Grounded Plug for Safety - Great for Garden and Major Appliances","New","98","0","98","0","0","0","0","USD","0","0.0","0","0.0","4","5","5","5","","44.99","44.99","44.99","0.0","Improve recommendations","95","44.99","0","0","0.0","0.5329949238578681","15.417556","cubic feet","Standard"
"2021-07-13","OS-PP-CHPRO2-HGGY","X002WMFLVX","B07ZTN4SDC","Professional Cornhole Bags - Set of 8 Regulation All Weather Two Sided Bean Bags for Pro Corn Hole Game - 4 Hunter Green & 4 Gray","New","1","0","1","0","0","0","0","USD","0","0.0","0","0.0","1","5","11","11","","","","29.27","-1.0","Edit listing","0","0.0","0","0","0.0","1.1","0.234380","cubic feet","Standard"
"2021-07-13","OS-BCL-CHB-SCORE-2PK","X002OFVSHT","B08L5LNCYH","Barcaloo Cornhole Scoreboard Metal Decal 2 Pack with 4 Magnetic Score Keepers for Corn Hole Boards","New","372","0","372","0","0","0","0","USD","0","0.0","0","0.0","22","30","72","158","Low traffic","15.59","15.59","15.59","0.0","Advertise listing","0","13.8751","364","0","4021.551696053836","1.151183970856102","7.216428","cubic feet","Standard"
