(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions,Session Percentage,Page Views,Page Views Percentage,Featured Offer (Buy Box) Percentage,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B00ZVKCSGI,B00ZVKCSGI,Punchau Lawn Aerator Shoes w/Metal Buckles and 3 Straps - Heavy Duty Spiked Sandals for Aerating Your Lawn or Yard,SS-PUN-TS,263,8.56%,344,8.62%,98.55%,145,2,55.13%,0.76%,"$2,214.32",$29.98,139,2
B076BS7BNZ,B0767HV4M6,Hephaestus Crafts Blocking Mats for Knitting - Pack of 9 GRAY Blocking Boards with Grids for Needlepoint or Crochet. 150 T-pins,SS-HC-BLOCKING9G,278,9.05%,357,8.95%,100.00%,93,0,33.45%,0.00%,"$2,207.08",$0.00,84,0
B07RG67T12,B07RG67T12,Punchau Lawn Aerator Shoes with Hook and Loop Fastener and 3 Straps - New Heavy Duty Spiked Aerating Sandals with Upgraded Soles and Straps for Aerating Your Lawn or Yard,SS-PUN-TS-HD,74,2.41%,95,2.38%,100.00%,68,6,91.89%,8.11%,"$1,124.32",$101.94,67,6
B084WQ3MF7,B084WQ3MF7,"Punchau Lawn Aerator Shoes with Secure Fit Heel Strap, Heavy Duty Pre-Assembled Spiked Sandals with Metal Buckles and 3 Straps for Aerating Your Lawn or Yard",SS-PUN-TS-HD-A,90,2.93%,110,2.76%,100.00%,63,1,70.00%,1.11%,$958.77,$14.99,63,1
B077YR117R,B01865W6R0,"Organic Cotton Waterproof Fitted Crib Pad - Natural Baby Crib Mattress Cover & Protector - Unbleached, Non-Toxic & Hypoallergenic (28"" x 52"" x 7"")",SS-DD-ORGANIC-FITTED-CRIB-182852E,120,3.91%,156,3.91%,98.72%,47,0,39.17%,0.00%,"$1,268.73",$0.00,43,0
B08F2T36VX,B07N1WNB4H,"Dry Defender Waterproof Bed Pads for Incontinence - Absorbent Washable Underpad - Mattress Pads for Kids or Adults - Flat, 34x36 Inch (Pack of 4)",SS-DD-WMO1-FBA-4PK-BG,93,3.03%,121,3.03%,100.00%,43,3,46.24%,3.23%,"$1,676.57",$116.97,37,3
B07VHK1YHG,B07VHK1YHG,Punchau Lawn Aerator Shoes w/Metal Buckles and 3 Straps - Heavy Duty Spiked Sandals for Aerating Your Lawn or Yard,SS-PUN-TS-A,77,2.51%,104,2.61%,98.08%,35,1,45.45%,1.30%,$448.65,$14.99,34,1
B097CKZ56R,B08S5R61SX,Rustic Farmhouse Tissue Box Cover - Wooden White Square Tissue Holder Easy to Refill - 5” x 6“,SS-CT-TB5x6-WHT,72,2.34%,86,2.16%,100.00%,26,0,36.11%,0.00%,$415.74,$0.00,22,0
B08F2T36VX,B07N1WGLKP,"Dry Defender Waterproof Bed Pads for Incontinence - Absorbent Washable Underpad - Mattress Pads for Kids or Adults - Flat, 24x36 Inch (Pack of 3)",SS-DD-WMCP-FBA-3PK-BG,83,2.70%,106,2.66%,100.00%,22,0,26.51%,0.00%,$549.78,$0.00,21,0
B084WP1KRK,B084WP1KRK,Punchau Lawn Aerator Shoes with Hook and Loop Straps - New Heavy Duty Spiked Aerating Sandals with Upgraded Soles and Straps for Aerating Your Lawn or Yard,SS-PUN-TS-B,78,2.54%,96,2.41%,100.00%,20,0,25.64%,0.00%,$331.44,$0.00,20,0
