"snapshot-date","sku","fnsku","asin","product-name","condition","avaliable-quantity(sellable)","qty-with-removals-in-progress","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-365-plus-days","currency","qty-to-be-charged-ltsf-6-mo","projected-ltsf-6-mo","qty-to-be-charged-ltsf-12-mo","projected-ltsf-12-mo","units-shipped-last-7-days","units-shipped-last-30-days","units-shipped-last-60-days","units-shipped-last-90-days","alert","your-price","sales_price","lowest_price_new","lowest_price_used","Recommended action","Healthy Inventory Level","Recommended sales price","Recommended sale duration (days)","Recommended Removal Quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-units","storage-type"
"2021-07-19","SS-PUN-CHC-REBK","X0029BTCA3","B07VPRC5GN","Punchau Cornhole Bean Bags - Corn Filled Set of 8 Bags for Corn Hole Toss Game - Regulation Size & Weight - 4 Red and 4 Black","New","105","0","105","0","0","0","0","USD","0","0.0","0","0.0","5","10","10","10","Low traffic","20.99","20.99","20.99","0.0","Advertise listing","0","16.791999999999998","364","0","4579.222705168764","0.1941747572815534","26.675145","cubic feet","Standard"
"2021-07-19","SS-PUN-CHC-REBL","X00298E8DH","B07VPRFZRZ","Punchau Cornhole Bean Bags - Corn Filled Set of 8 Bags for Corn Hole Toss Game - Regulation Size & Weight - 4 Red and 4 Blue","New","131","0","131","0","0","0","0","USD","0","0.0","0","0.0","5","18","18","18","Low traffic","19.99","19.99","19.99","0.0","Advertise listing","0","18.790599999999998","364","0","1423.4901209288275","0.24573378839590443","1.819459","cubic feet","Standard"
"2021-07-19","SS-PUN-CH-NBYE","X002D7FPKT","B07ZTVSXX7","Punchau Cornhole Bags - All Weather Set of 8 Corn Hole Bean Bags - Regulation Size & Weight - 4 Navy Blue & 4 Yellow","New","4","0","4","0","0","0","0","USD","0","0.0","0","0.0","3","30","61","94","","19.49","19.49","19.49","0.0","Improve recommendations","6","19.49","0","0","0.0","3.032258064516129","0.805924","cubic feet","Standard"
"2021-07-19","SS-PUN-CHC-YEBK","X00298E8D7","B07VMNX7JW","Punchau Cornhole Bean Bags - Corn Filled Set of 8 Bags for Corn Hole Toss Game - Regulation Size & Weight - 4 Yellow and 4 Black","New","74","0","74","0","0","0","0","USD","0","0.0","0","0.0","0","1","1","1","Low traffic","17.99","17.99","17.99","0.0","Improve recommendations","0","17.99","63","0","3288.9907693480745","0.027972027972027972","20.470250","cubic feet","Standard"
"2021-07-19","SS-PUN-TS-B","X002GTTRKN","B084WP1KRK","Punchau Lawn Aerator Shoes with Hook and Loop Straps - New Heavy Duty Spiked Aerating Sandals with Upgraded Soles and Straps for Aerating Your Lawn or Yard","New","393","0","393","0","0","0","0","USD","0","0.0","0","0.0","15","137","212","310","Low traffic","14.99","14.99","14.99","0.0","Lower price","401","16.99","0","0","0.0","1.2003872216844143","60.423750","cubic feet","Standard"
"2021-07-19","SS-DD-WM17X24-FBA-BG","X00229KGAH","B07N1X3X5Q","Dry Defender Waterproof Bed Pads for Incontinence - Absorbent Washable Underpad - Mattress Pads for Kids or Adults - Flat, 17x24 Inch (Pack of 1)","New","53","0","19","34","0","0","0","USD","0","0.0","0","0.0","5","40","91","118","","8.99","8.99","8.99","0.0","Improve recommendations","55","8.99","0","0","0.0","0.5679903730445247","2.191179","cubic feet","Standard"
"2021-07-19","SS-DD-WMCP-FBA-BG","X00226NJ3L","B00IOQLNGW","Waterproof Mattress Sheet Protector Bed Underpad - Super Absorbent 24 x 36","New","17","0","0","17","0","0","0","USD","0","0.0","0","0.0","2","12","37","59","","10.99","10.99","10.99","0.0","Improve recommendations","17","11.99","0","0","0.0","1.2967032967032968","1.565411","cubic feet","Standard"
"2021-07-19","SS-PUN-CH-HGNB","X002D7FPJ5","B07ZTV9KHG","Punchau Cornhole Bags - All Weather Set of 8 Corn Hole Bean Bags - Regulation Size & Weight - 4 Hunter Green & 4 Navy Blue","New","200","0","200","0","0","0","0","USD","0","0.0","0","0.0","11","77","123","153","","16.99","16.99","16.99","0.0","Improve recommendations","202","16.99","0","0","0.0","0.8010471204188482","35.959000","cubic feet","Standard"
"2021-07-19","SS-PUN-TS-HD-A","X002GTV3AP","B084WQ3MF7","Punchau Lawn Aerator Shoes with Secure Fit Heel Strap, Heavy Duty Pre-Assembled Spiked Sandals with Metal Buckles and 3 Straps for Aerating Your Lawn or Yard","New","856","0","856","0","0","0","0","USD","0","0.0","0","0.0","66","239","303","433","Low traffic","14.99","14.99","14.99","0.0","Advertise listing","264","13.3411","364","0","6161.396614737325","0.8318924111431316","145.780224","cubic feet","Standard"
"2021-07-19","SS-CT-MO14SLAT-WHT","X002RI5TRD","B08RZBDW73","Wall Mounted Mail and Key Organizer - Wooden Wall Mount Mail Organizer - Weathered White Wood Slats with Black Key Rack Hooks, Decorative Farmhouse Slatted Design","New","88","0","88","0","0","0","0","USD","0","0.0","0","0.0","1","1","1","1","Low traffic","22.99","22.99","22.99","0.0","Lower price","85","22.99","0","0","0.0","0.039603960396039604","54.630136","cubic feet","Standard"
