"(Parent) ASIN","(Child) ASIN","Title","SKU","Sessions","Session Percentage","Page Views","Page Views Percentage","Buy Box Percentage","Units Ordered","Units Ordered - B2B","Unit Session Percentage","Unit Session Percentage - B2B","Ordered Product Sales","Ordered Product Sales - B2B","Total Order Items","Total Order Items - B2B"
"B07HKN6H6V","B08NFFNSP7","50 Ft Black Oil Resistant Extension Cord with 3 Electrical Power Outlets for Farms and Ranches - 14/3 SJTOW Heavy Duty Outdoor Cable with 3 Prong Grounded Plug for Safety","PL-IFC-143B50P","35","0.06%","51","0.07%","100%","58","43","165.71%","122.86%","$2,382.02","$1,780.97","37","23"
"B07V5QL5GJ","B01MY0LTU5","2 Pack of 10 Ft Outdoor Extension Cords - 16/3 Durable Black Extension Cord Pack","PL-IFC-163B10PK2","276","0.47%","390","0.50%","100%","413","45","149.64%","16.30%","$6,046.76","$657.04","357","20"
"B07HKG7ZCL","B073ZMLZGW","3 Foot Lighted Outdoor GFCI Extension Cord with 3 Electrical Power Outlets - 12/3 SJTW Heavy Duty Yellow Pigtail Extension Cable with 3 Prong Grounded Plug for Safety","PL-IFC-123Y3GFCI","307","0.52%","474","0.61%","100%","276","74","89.90%","24.10%","$6,979.98","$1,872.61","121","19"
"B01LR30Y6S","B01K4ZDO2G","Play Platoon Premium Weather Resistant Duck Cloth Cornhole Bags - Set of 8 Bean Bags for Corn Hole Game - 4 Red & 4 Black.","PL-PP-CH-REBK","905","1.53%","1,220","1.58%","98%","429","25","47.40%","2.76%","$7,282.71","$419.54","383","15"
"B07HKLFJGV","B019P9ZGGO","25 Foot Lighted Outdoor Extension Cord - 12/3 SJTW Heavy Duty Yellow Extension Cable Extension Cable with 3 Prong Grounded Plug for Safety - Great for Garden and Major Appliances","PL-IFC-123Y25","436","0.74%","599","0.78%","99%","169","37","38.76%","8.49%","$5,133.78","$1,139.85","118","14"
"B0891LXZCH","B07GC2YHKM","Play Platoon 1100 Piece Building Bricks Kit with Wheels, Tires, Axles, Windows and Doors Pieces - Classic Colors - Compatible with All Major Brands","PL-PP-B1120R","601","1.02%","851","1.10%","97%","180","42","29.95%","6.99%","$5,168.67","$1,200.58","135","14"
"B07HKNMZ86","B01JN1JLPG","15 Ft Outdoor Extension Cord - 16/3 Durable Black Cable with 3 Prong Grounded Plug for Safety","PL-IFC-163B15","249","0.42%","319","0.41%","100%","259","90","104.02%","36.14%","$3,394.12","$1,155.22","147","12"
"B01LR30Y6S","B01K4ZDLHE","Play Platoon Premium Weather Resistant Duck Cloth Cornhole Bags - Set of 8 Bean Bags for Corn Hole Game - 4 Red & 4 Blue","PL-PP-CH-REBL","432","0.73%","542","0.70%","100%","262","17","60.65%","3.94%","$5,226.90","$339.15","237","11"
"B07HKLFJGV","B019P9ZE3E","100 Foot Outdoor Extension Cord - 12/3 SJTW Heavy Duty Yellow 3 Prong Extension Cable - Great for Garden and Major Appliances (100 Foot - Yellow)","PL-IFC-123Y100","308","0.52%","421","0.54%","92%","91","25","29.55%","8.12%","$7,213.85","$1,983.75","69","10"
"B07HKG7ZCL","B073ZN541L","25 Foot Lighted Outdoor Extension Cord with 3 Electrical Power Outlets - 12/3 SJTW Heavy Duty Yellow Extension Cable with 3 Prong Grounded Plug for Safety","PL-IFC-123Y25P","202","0.34%","255","0.33%","98%","128","25","63.37%","12.38%","$3,786.29","$753.81","91","10"
"B01LR30Y6S","B06XG58CYY","Weather Resistant Cornhole Bean Bags - Set of 8 American Flag Corn Hole Bags (Stars & Stripes) - Regulation Size & Weight","PL-PP-CH-STAR","1,051","1.78%","1,386","1.79%","100%","573","10","54.52%","0.95%","$11,398.50","$200.40","554","9"
