"sku","fnsku","asin","product-name","product-group","brand","fulfilled-by","your-price","sales-price","longest-side","median-side","shortest-side","length-and-girth","unit-of-dimension","item-package-weight","unit-of-weight","product-size-tier","currency","estimated-fee-total","estimated-referral-fee-per-unit","estimated-variable-closing-fee","estimated-order-handling-fee-per-order","estimated-pick-pack-fee-per-unit","estimated-weight-handling-fee-per-unit","expected-fulfillment-fee-per-unit"
"amzn.gr.PL-IL-FRUIT-SER-3T-qaf-bfmhcN-AC","X002YHE3RT","B0876DH4XZ","Ilyapa 3 Tier Fruit Basket Stand - Countertop Three Tiered Metal Serving Tray for Kitchen Fruit and Vegetable Storage","Home","Ilyapa","Amazon","22.49","22.49","12.4","12.1","4.7","46.0","inches","3.21","pounds","UsLargeStandardSize","USD","9.95","3.37","0.00","--","--","--","6.58"
"amzn.gr.PL-IL-CDBC-S4-OR1CEKV7-ZrMhng-GD","X002YGQTFJ","B07PSK6ZPB","Ilyapa Closet Door Ball Catch Hardware, 4 Pack - Satin Nickel Drive-in Ball Catch with Strike Plate","Home Improvement","Ilyapa","Amazon","9.59","9.59","4.4","3.6","2.1","15.8","inches","0.6","pounds","UsLargeStandardSize","USD","5.08","1.44","0.00","--","--","--","3.64"
"amzn.gr.PL-IL-FRUIT-SER-2T-JDp0JKRF-B-GD","X002YGQEOP","B0876DYF53","Ilyapa 2 Tier Fruit Basket Stand - Countertop Two Tiered Metal Serving Tray for Kitchen Fruit and Vegetable Storage","Home","Ilyapa","Amazon","18.39","18.39","12.48","11.97","4.76","45.94","inches","2.49","pounds","UsLargeStandardSize","USD","9.34","2.76","0.00","--","--","--","6.58"
"amzn.gr.PL-IL-CHFFE.5-SN-50PK-EtHC_fR-AC","X002YF5PRX","B086VLTPRT","Ilyapa Self Closing Cabinet Hinges Satin Nickel, 50 Pack - 1/2 Inch Euro Face Frame Concealed Kitchen Cabinet Door Hinge Hardware","Home Improvement","Ilyapa","Amazon","27.74","27.74","10.75","6.1","4.92","32.8","inches","5.79","pounds","UsLargeStandardSize","USD","10.74","4.16","0.00","--","--","--","6.58"
"amzn.gr.PL-IL-MS15X9X5-MADJ-2P-gbN2jv-LN","X002YF3KKH","B07XD58S4W","Ilyapa Computer Monitor Riser 2 Pack - Silver Height Adjustable Vented Metal Desktop Risers for Computer Monitors, Laptop, Printer, TV & More","Office Products","Ilyapa","Amazon","22.49","22.49","16.4","9.8","1.9","39.8","inches","5.15","pounds","UsLargeStandardSize","USD","9.95","3.37","0.00","--","--","--","6.58"
"amzn.gr.PL-IL-WD15X25PK1-SSP-F-5zWPTs-VG","X002YEXWRT","B07HM82MQ1","Outdoor Glass Beverage Dispenser with Sturdy Metal Base, Stainless Steel Spigot & Hanging Chalkboard - Drink Dispenser for Lemonade, Tea, Cold Water & More","Kitchen","Ilyapa","Amazon","37.39","37.39","14.6","7.9","7.8","46.0","inches","4.65","pounds","UsLargeStandardSize","USD","12.49","5.61","0.00","--","--","--","6.88"
"amzn.gr.PL-IFC-WPB-BK-dIuHYXFBcnWcRLn-VG","X002YEQO6Z","B083L4WMVK","Weatherproof Extension Cord Connection Box - Waterproof Outdoor Cover for Electrical Connections, Black","Home Improvement","Iron Forge Cable","Amazon","28.89","28.89","14.68","9.53","6.06","45.86","inches","2.72","pounds","UsLargeStandardSize","USD","11.21","4.33","0.00","--","--","--","6.88"
"amzn.gr.PL-IL-DH35-BK18-DL-kxdq8KnEct-VG","X002YEQ8O3","B07FFBN8NN","""Ilyapa 18 Pack Matte Black Door Hinges - 3.5 x 3.5 Inch Interior Hinges for Doors Flat Black with 5/8"""" Radius Corners""","Home Improvement","Ilyapa","Amazon","24.21","24.21","8.19","4.33","2.2","21.25","inches","7.25","pounds","UsLargeStandardSize","USD","10.81","3.63","0.00","--","--","--","7.18"
"amzn.gr.PL-PP-CH-ORBK-B-DL-lqLvadbLDm-AC","X002YEOZNT","B07DRP3QNF","Premium Weather Resistant Duckcloth Cornhole Bags - Set of 8 Halloween Bean Bags for Corn Hole Game - Regulation Size & Weight - 4 Orange & 4 Black","Sports","Play Platoon","Amazon","16.00","16.00","14.72","6.42","2.28","32.13","inches","7.52","pounds","UsLargeStandardSize","USD","9.58","2.40","0.00","--","--","--","7.18"
"amzn.gr.PL-IFC-CMB-WTWT-2PK-LnGhV2A4x-AC","X002YEAAZ1","B07WQYQ9YR","Iron Forge Cable Cable Management Box, 2 Pack - White Cord Organizer and Hider for Wires, Power Strips, Surge Protectors & More - Includes Cable Sleeve, Hook and Loop Keepers, Zip Ties & Clips","Home Improvement","Iron Forge Cable","Amazon","20.99","20.99","16.7","6.6","5.6","41.1","inches","2.98","pounds","UsLargeStandardSize","USD","9.54","3.15","0.00","--","--","--","6.39"
"amzn.gr.PL-IFC-163G50-sbgTCXKAiizzm4V-LN","X002YE9HKZ","B01JN1JRXW","50 Ft Outdoor Extension Cord - 16/3 Durable Green Cable - Great for Powering Outdoor Decorations","Home Improvement","Iron Forge Cable","Amazon","23.89","23.89","11.81","4.88","3.0","27.57","inches","3.7","pounds","UsLargeStandardSize","USD","9.67","3.58","0.00","--","--","--","6.09"
"amzn.gr.PL-IL-TB25x15x13-BK-kpbxevmem-GD","X002YE8XN7","B08CPQKYTX","Ilyapa Wood Tissue Box Cover Rectangular - Rustic Farmhouse Black Wooden Tissue Holder","Home","Ilyapa","Amazon","17.59","17.59","10.32","6.65","5.67","34.96","inches","0.77","pounds","UsLargeStandardSize","USD","8.32","2.64","0.00","--","--","--","5.68"
