"snapshot-date","sku","fnsku","asin","product-name","condition","avaliable-quantity(sellable)","qty-with-removals-in-progress","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-365-plus-days","currency","qty-to-be-charged-ltsf-6-mo","projected-ltsf-6-mo","qty-to-be-charged-ltsf-12-mo","projected-ltsf-12-mo","units-shipped-last-7-days","units-shipped-last-30-days","units-shipped-last-60-days","units-shipped-last-90-days","alert","your-price","sales_price","lowest_price_new","lowest_price_used","Recommended action","Healthy Inventory Level","Recommended sales price","Recommended sale duration (days)","Recommended Removal Quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-units","storage-type"
"2021-07-17","PL-IFC-123Y100-PK2","X0020Q2ND5","B07MTPZ37H","2 Pack of 100 Foot Lighted Outdoor Extension Cord - 12/3 SJTW Heavy Duty Yellow Extension Cable with 3 Prong Grounded Plug for Safety - Great for Garden and Major Appliances","New","1","0","1","0","0","0","0","USD","0","0.0","0","0.0","0","32","44","44","","","","-1.0","-1.0","Edit listing","0","0.0","0","0","0.0","4.4","0.681625","cubic feet","Oversize"
"2021-07-17","PL-IL-LVR-PRV-CO-BK-10PK","X002LGLPL5","B08DL58116","Ilyapa Privacy Door Lever for Bed/Bath - Contemporary, Matte Black Reversible Interior Keyless Turn Thumb Locking Door Leverset, Matte Black, 10 Pack","New","23","0","15","8","0","0","0","USD","0","0.0","0","0.0","6","31","57","70","","84.99","84.99","84.99","0.0","Improve recommendations","28","84.99","0","0","0.0","1.0256410256410255","20.984004","cubic feet","Oversize"
"2021-07-17","PL-IL-CABPC-NL-K10","X001DF4GGL","B06Y14DFLC","Ilyapa Matte Black Kitchen Cabinet Pulls - 3 Inch Hole Center Bin Cup Drawer Handles - 10 Pack of Kitchen Cabinet Hardware","New","47","0","20","27","0","0","0","USD","0","0.0","0","0.0","12","47","80","130","","20.99","20.99","20.99","12.59","Improve recommendations","52","20.99","0","0","0.0","0.9122807017543859","1.416486","cubic feet","Standard"
"2021-07-17","PL-IL-CABKRB-B25","X00168V4XN","B01JMZX7L2","Ilyapa Oil Rubbed Bronze Kitchen Cabinet Knobs - 1 1/4 Inch Round Drawer Handles - 25 Pack of Kitchen Cabinet Hardware","New","92","0","92","0","0","0","0","USD","0","0.0","0","0.0","28","67","336","663","","29.99","29.99","26.99","22.32","Improve recommendations","51","29.99","0","0","0.0","4.248012718600954","7.169192","cubic feet","Standard"
"2021-07-17","PL-IL-HLDB-CL-BK","X002LGLY1V","B08DL6V51Y","Ilyapa Front Entry Door Handleset with Deadbolt - Classic, Matte Black Exterior Door Handle with Knob and Single Cylinder Deadbolt, Matte Black","New","48","0","48","0","0","0","0","USD","0","0.0","0","0.0","4","11","22","29","","35.03","35.03","35.03","0.0","Improve recommendations","47","36.02","0","0","0.0","0.48945147679324896","17.046288","cubic feet","Standard"
"2021-07-17","PL-PP-CH-BGNB","X0020SE99J","B07MWJ9ZZL","Weather Resistant Cornhole Bean Bags Set of 8 - Regulation Size & Weight - Burgundy & Navy Blue","New","89","0","89","0","0","0","0","USD","0","0.0","0","0.0","28","96","201","274","","17.49","17.49","17.49","0.0","Improve recommendations","87","17.49","0","0","0.0","1.152471083070452","5.230263","cubic feet","Standard"
"2021-07-17","PL-IL-CABKSQ-B25","X00237EB3V","B07PQYKMH9","Ilyapa Oil Rubbed Bronze Square Kitchen Cabinet Knobs - 25 Pack of Drawer Handles Hardware","New","72","0","72","0","0","0","0","USD","0","0.0","0","0.0","2","48","193","254","","","","32.99","20.98","Edit listing","66","28.13","0","0","0.0","2.5888324873096447","5.546952","cubic feet","Standard"
"2021-07-17","PL-PP-STNDSTL2-BK","X002RLIIQT","B08S8YXT8G","Play Platoon Toddler Kitchen Stool with Adjustable Height - Wooden Step Stool Standing Tower for Kids Kitchen Counter Learning","New","87","0","87","0","0","0","0","USD","0","0.0","0","0.0","4","8","10","10","Low traffic","77.99","77.99","77.99","0.0","Lower price","134","77.99","0","0","0.0","0.145985401459854","109.721529","cubic feet","Oversize"
"2021-07-17","PL-IL-CABKRG-B10","X002399KKD","B07PQY5SLK","Ilyapa Oil Rubbed Bronze Kitchen Cabinet Knobs - Round Ringed Drawer Handles - 10 Pack of Kitchen Cabinet Hardware","New","102","0","102","0","0","0","0","USD","0","0.0","0","0.0","5","8","32","80","","16.99","16.99","15.99","11.17","Improve recommendations","99","16.99","0","0","0.0","0.963855421686747","2.823768","cubic feet","Standard"
"2021-07-17","PL-IFC-103Y25","B078KFMGP4","B078KFMGP4","25 Foot Lighted Outdoor Extension Cord - 10/3 SJTW Yellow 10 Gauge Extension Cable with 3 Prong Grounded Plug for Safety - Great for Garden and Major Appliances","New","42","0","42","0","0","0","0","USD","0","0.0","0","0.0","101","490","668","876","","49.48","49.48","49.48","0.0","Improve recommendations","40","49.48","0","0","0.0","3.1372549019607843","8.822898","cubic feet","Standard"
"2021-07-17","PL-IFC-163B4SPL28","X002OQ8NRL","B08LLF8MXL","1 to 4 Extension Cord Splitter - 28 Foot Black Power Cord Splitter - 16/3 SJTW Outdoor Outlet & Plug Splitter Cable","New","40","0","4","36","0","0","0","USD","0","0.0","0","0.0","5","29","87","111","Low traffic","23.95","23.95","23.95","0.0","Lower price","41","23.95","0","0","0.0","1.121212121212121","18.705600","cubic feet","Standard"
"2021-07-17","PL-IL-SDH4-S2-A","X002FSTYZN","B083XFSY5Z","Ilyapa Self Closing Door Hinges, 2 Pack, Satin Nickel - 4x4 Inch Interior Spring Hinges for Doors","New","282","0","261","21","0","0","0","USD","0","0.0","0","0.0","17","58","158","188","","16.05","16.05","16.05","15.74","Improve recommendations","281","15.99","0","0","0.0","0.6087649402390438","3.264996","cubic feet","Standard"
"2021-07-17","PL-IL-ATS8X10-4PK-BRN","X002B2X30F","B07XK8DWXB","Ilyapa Acrylic Sign Holders with Wood Stands, 4 Pack - 8x10 Inch Blank Table Numbers Set for Wedding","New","54","0","54","0","0","0","0","USD","0","0.0","0","0.0","4","24","179","293","","30.15","30.15","30.15","0.0","Improve recommendations","0","0.0","0","0","0.0","2.915422885572139","4.762584","cubic feet","Standard"
"2021-07-17","PL-IFC-163G10PB","X0016682Z3","B01JN1JTR6","10 Ft Outdoor Extension Cord with Power Block - 16/3 Durable Green Cable - Great for Powering Outdoor Decorations","New","504","0","504","0","0","0","0","USD","0","0.0","0","0.0","82","434","599","823","","12.95","12.95","12.95","0.0","Improve recommendations","484","12.95","0","0","0.0","1.6296296296296295","14.671944","cubic feet","Standard"
"2021-07-17","PL-IFC-163B100PS3","X002M7GB7B","B08FXPMQ6N","100 Ft Black Extension Cord with 3 Electrical Power Outlets - 16/3 SJTW Indoor/Outdoor Cable with 3 Prong Grounded Plug for Safety","New","1","0","1","0","0","0","0","USD","0","0.0","0","0.0","0","2","14","90","Low traffic","50.46","50.46","50.46","0.0","Lower price","0","0.0","0","0","0.0","3.495145631067961","0.218060","cubic feet","Standard"
"2021-07-17","PL-PP-CHC-NBGD-CP","X002TFB9BJ","B07ZTPXHJ5","Corn Filled Cornhole Bags - Set of 8 Bean Bags for Corn Hole Game - Regulation Size & Weight - Navy Blue & Gold","New","95","0","95","0","0","0","0","USD","0","0.0","0","0.0","0","0","0","0","Low conversion","19.99","19.99","19.99","0.0","Create Sale","0","15.991999999999999","63","0","4624.867939528667","0.0","28.204455","cubic feet","Standard"
"2021-07-17","PL-IFC-RVA-DB5","X002QGKW73","B08PMH3YZ3","Iron Forge Cable 30 Amp to 50 Amp RV Electrical Adapter Power Cord, 12 Inch - 10/3 STW TT-30P Male Plug to 14-50R Female Receptacle, Yellow","New","125","0","125","0","0","0","0","USD","0","0.0","0","0.0","1","28","151","250","","25.41","25.41","25.41","0.0","Improve recommendations","125","25.82","0","0","0.0","1.8796992481203008","15.707000","cubic feet","Standard"
